REPORT NUMBER,DATE,TIME,OFFENSE,ADDRESS
201603503,4/28/2016,1346,THEFT FROM VEHICLE,600 BLK VILLAGE GREEN PKWY
201603504,4/28/2016,1428,FRAUD - IMPERSONATE,400 BLK MENCHVILLE RD S
201653174,4/28/2016,1436,SIMPLE ASSAULT,AYRSHIRE WAY / TURNBERRY BLVD
201603506,4/28/2016,1439,FRAUD-ILLEGAL USE CREDIT CARD/ATM,0 BLK LANGHORNE RD
201653173,4/28/2016,1440,SIMPLE ASSAULT,3000 BLK ROANOKE AVE
201653175,4/28/2016,1455,DRUG/NARCOTICS OFFENSES,14700 BLK WARWICK BLVD
201603507,4/28/2016,1458,THEFT FROM VEHICLE,0 BLK MATTHEW RD
201653176,4/28/2016,1500,ANNOYING PHONE CALLS,11700 BLK JEFFERSON AVE
201603508,4/28/2016,1506,LARCENY,100 BLK RACINE DR
201603510,4/28/2016,1515,LARCENY,1100 BLK 32ND ST
201603511,4/28/2016,1517,LARCENY,300 BLK SUSAN CONSTANT DR
201603512,4/28/2016,1525,UNAUTHORIZED USE OF VEHICLE,0 BLK WOODHAVEN RD
201603513,4/28/2016,1537,SHOPLIFTING,12400 BLK JEFFERSON AVE
201603514,4/28/2016,1601,DAMAGE PROPERTY,4000 BLK CAMPBELL RD
201603515,4/28/2016,1621,THEFT FROM BUILDING,1800 BLK MARSHALL AVE
201653181,4/28/2016,1621,BURGLARY/B & E,100 BLK KIRK DR
201603516,4/28/2016,1649,FRAUD - IMPERSONATE,12400 BLK JEFFERSON AVE
201603517,4/28/2016,1703,TRESPASSING,500 BLK ATKINSON WAY
201603521,4/28/2016,1715,OVERDOSE,800 BLK J CLYDE MORRIS BLVD
201603518,4/28/2016,1723,THEFT FROM VEHICLE,6200 BLK RESERVE WAY
201603518,4/28/2016,1723,THEFT PARTS FROM VEHICLE,6200 BLK RESERVE WAY
201653182,4/28/2016,1727,DECEASED PERSON,700 BLK AUSTIN CT
201653183,4/28/2016,1739,LEAVING THE SCENE,100 BLK COLONY RD
201653184,4/28/2016,1750,BURGLARY/B & E,500 BLK LANELLE PL
201653185,4/28/2016,1832,LARCENY,200 BLK 25TH ST
201653185,4/28/2016,1832,FRAUD-ILLEGAL USE CREDIT CARD/ATM,200 BLK 25TH ST
201653186,4/28/2016,2026,SIMPLE ASSAULT,200 BLK MEAGAN CT
201603520,4/28/2016,2144,LARCENY,11200 BLK JEFFERSON AVE
201653188,4/28/2016,2149,BURGLARY/B & E,11000 BLK WARWICK BLVD
201653187,4/28/2016,2207,WEAPON OFFENSE,300 BLK 60TH ST
201653187,4/28/2016,2207,INTIMIDATION,300 BLK 60TH ST
201653189,4/28/2016,2230,SIMPLE ASSAULT,500 BLK ONANCOCK TRL
201653222,4/29/2016,0034,FORCIBLE FONDLING,300 BLK HIDENWOOD DR
201653191,4/29/2016,0039,SIMPLE ASSAULT,700 BLK CASPER LN
201653193,4/29/2016,0218,DRUG/NARCOTICS OFFENSES,400 BLK OYSTER POINT RD
201653193,4/29/2016,0218,SIMPLE ASSAULT,400 BLK OYSTER POINT RD
201653192,4/29/2016,0225,SIMPLE ASSAULT,0 BLK TREE DR
201653194,4/29/2016,0423,SIMPLE ASSAULT,CRISTAL DR / PALACE CT
201603522,4/29/2016,0611,THEFT FROM VEHICLE,100 BLK MADELINE PL
201603523,4/29/2016,0643,LEAVING THE SCENE,DRESDEN DR / JEFFERSON AVE
201603524,4/29/2016,0648,THEFT FROM VEHICLE,3100 BLK WEST AVE
201603525,4/29/2016,0719,THEFT FROM VEHICLE,100 BLK ROSE CT
201603526,4/29/2016,0825,FRAUD - IMPERSONATE,700 BLK LOMBARDY AVE
201603527,4/29/2016,0845,UNAUTHORIZED USE OF VEHICLE,0 BLK FORREST DR
201653195,4/29/2016,0856,SIMPLE ASSAULT,9700 BLK JEFFERSON AVE
201603528,4/29/2016,0930,THEFT FROM VEHICLE,1400 BLK VENTURA WAY
201603529,4/29/2016,0954,FRAUD - IMPERSONATE,400 BLK GOOSE CIR
201653196,4/29/2016,1004,VEH RECOVERY(OUT OF JURIS),0 BLK WOODHAVEN RD
201603530,4/29/2016,1016,THEFT FROM VEHICLE,900 BLK J CLYDE MORRIS BLVD
201603531,4/29/2016,1058,LARCENY,300 BLK ED WRIGHT LN
201653198,4/29/2016,1058,BURGLARY/B & E,1100 BLK 44TH ST
201603533,4/29/2016,1114,INTIMIDATION,300 BLK LEES MILL DR
201653197,4/29/2016,1117,JUVENILE - RUNAWAY,3100 BLK MARSHALL AVE
201603534,4/29/2016,1119,FRAUD - IMPERSONATE,100 BLK TREELAND CT
201653200,4/29/2016,1209,BURGLARY/B & E,2600 BLK WICKHAM AVE
201653200,4/29/2016,1209,DAMAGE PROPERTY,2600 BLK WICKHAM AVE
201603535,4/29/2016,1213,THEFT FROM VEHICLE,1400 BLK SUMMIT LN
201603536,4/29/2016,1310,INTIMIDATION,300 BLK BOULDER DR
201603537,4/29/2016,1317,LEAVING THE SCENE,6100 BLK JEFFERSON AVE
201603538,4/29/2016,1324,BURGLARY/B & E,800 BLK 36TH ST
201653201,4/29/2016,1330,LEAVING THE SCENE,14500 BLK OLD COURTHOUSE WAY
201653202,4/29/2016,1354,LARCENY,21ST ST / WICKHAM AVE
201603539,4/29/2016,1404,LARCENY,500 BLK ADAMS DR
201603543,4/29/2016,1442,THEFT FROM VEHICLE,900 BLK J CLYDE MORRIS BLVD
201603544,4/29/2016,1500,FRAUD - IMPERSONATE,400 BLK CHOWAN PL
201603545,4/29/2016,1510,LEAVING THE SCENE,13400 BLK WOODSIDE LN
201653205,4/29/2016,1513,BURGLARY/B & E,900 BLK GARDEN DR
201653203,4/29/2016,1513,SIMPLE ASSAULT,DENBIGH BLVD / WARWICK BLVD
201603546,4/29/2016,1526,LARCENY,400 BLK SOUTH AVE
201603547,4/29/2016,1545,FRAUD-ILLEGAL USE CREDIT CARD/ATM,400 BLK OLD OYSTER POINT RD
201603548,4/29/2016,1549,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12100 BLK JEFFERSON AVE
201653206,4/29/2016,1600,DAMAGE PROPERTY,1100 BLK 74TH ST
201603549,4/29/2016,1610,FRAUD/FALSE PRETENSES/SWINDLE,2600 BLK WEST AVE
201653207,4/29/2016,1630,SIMPLE ASSAULT,1000 BLK 76TH ST
201603551,4/29/2016,1640,THEFT FROM BUILDING,7800 BLK WARWICK BLVD
201603550,4/29/2016,1647,ANNOYING PHONE CALLS,500 BLK CORAL KEY PL
201653208,4/29/2016,1658,BURGLARY/B & E,600 BLK 50TH ST
201653209,4/29/2016,1701,JUVENILE - RUNAWAY,1000 BLK 24TH ST
201603552,4/29/2016,1714,LEAVING THE SCENE,BLAND BLVD / JEFFERSON AVE
201653210,4/29/2016,1741,FORGERY/COUNTERFEITING,11800 BLK JEFFERSON AVE
201653212,4/29/2016,1744,SIMPLE ASSAULT,600 BLK JESSICA CIR
201603554,4/29/2016,1746,LARCENY,1200 BLK RESERVE WAY
201653211,4/29/2016,1753,VEHICLE THEFT,1000 BLK 30TH ST
201603555,4/29/2016,1759,LARCENY,11900 BLK JEFFERSON AVE
201653213,4/29/2016,1840,SHOPLIFTING,14800 BLK WARWICK BLVD
201603556,4/29/2016,1859,LARCENY,1000 BLK OLD DENBIGH BLVD
201653216,4/29/2016,1953,SIMPLE ASSAULT,1100 BLK 33RD ST
201653215,4/29/2016,2029,LARCENY,400 BLK ST TROPEZ DR
201603557,4/29/2016,2103,THEFT PARTS FROM VEHICLE,12000 BLK JEFFERSON AVE
201603557,4/29/2016,2103,THEFT FROM VEHICLE,12000 BLK JEFFERSON AVE
201653217,4/29/2016,2103,SIMPLE ASSAULT,5700 BLK MARSHALL AVE
201653218,4/29/2016,2139,AGGRAVATED ASSAULT,13500 BLK JEFFERSON AVE
201653218,4/29/2016,2139,SIMPLE ASSAULT,13500 BLK JEFFERSON AVE
201653219,4/29/2016,2246,WEAPON OFFENSE,100 BLK CORNELL DR
201653219,4/29/2016,2246,ROBBERY,100 BLK CORNELL DR
201603559,4/29/2016,2257,INTIMIDATION,500 BLK THORNCLIFF DR
201603561,4/29/2016,2322,LEAVING THE SCENE,700 BLK 32ND ST
201603562,4/29/2016,2337,LEAVING THE SCENE,100 BLK PLEASANT CT
201653221,4/30/2016,0012,DRUG/NARCOTICS OFFENSES,BELMONT RD / JEFFERSON AVE
201653223,4/30/2016,0154,JUVENILE - RUNAWAY,800 BLK 22ND ST
201603564,4/30/2016,0822,FRAUD - IMPERSONATE,800 BLK J CLYDE MORRIS BLVD
201603565,4/30/2016,0913,DAMAGE PROPERTY,12500 BLK JEFFERSON AVE
201603565,4/30/2016,0913,THEFT PARTS FROM VEHICLE,12500 BLK JEFFERSON AVE
201653227,4/30/2016,0919,OVERDOSE,0 BLK HUDSON CIR
201653225,4/30/2016,0930,SIMPLE ASSAULT,0 BLK MAURY AVE
201603566,4/30/2016,0952,LEAVING THE SCENE,3800 BLK WARWICK BLVD
201701375,4/30/2016,1000,INTIMIDATION,500 BLK THORNCLIFF DR
201653224,4/30/2016,1000,SIMPLE ASSAULT,600 BLK 27TH ST
201603567,4/30/2016,1000,LARCENY,700 BLK PELHAM DR
201603568,4/30/2016,1013,LARCENY,1500 BLK KILN CREEK PKWY
201653226,4/30/2016,1053,SUICIDE,500 BLK WOODALL CT
201603569,4/30/2016,1126,LARCENY,200 BLK CABELL DR
201653228,4/30/2016,1151,ROBBERY,300 BLK BOULDER DR
201603570,4/30/2016,1201,LEAVING THE SCENE,200 BLK BELRAY DR
201603573,4/30/2016,1259,DAMAGE PROPERTY,600 BLK JESSICA CIR
201603571,4/30/2016,1300,DAMAGE PROPERTY,12600 BLK JEFFERSON AVE
201653230,4/30/2016,1346,JUVENILE - RUNAWAY,0 BLK TUCKAHOE DR
201603574,4/30/2016,1435,DAMAGE PROPERTY,700 BLK FLAGSHIP DR
201603575,4/30/2016,1506,LEAVING THE SCENE,400 BLK ORIANA RD
201653229,4/30/2016,1518,SUICIDE,11900 BLK JEFFERSON AVE
201603576,4/30/2016,1547,SHOPLIFTING,15200 BLK WARWICK BLVD
201653231,4/30/2016,1625,KIDNAP/ABDUCTION,0 BLK LEWIS DR
201653231,4/30/2016,1625,SIMPLE ASSAULT,0 BLK LEWIS DR
201603641,4/30/2016,1659,SIMPLE ASSAULT,2500 BLK WICKHAM AVE
201653236,4/30/2016,1715,LARCENY,100 BLK DELMAR LN
201653235,4/30/2016,1745,OVERDOSE,0 BLK SINTON RD
201653238,4/30/2016,1810,DAMAGE PROPERTY,500 BLK DIPLOMAT CT
201603577,4/30/2016,1829,FORGERY/COUNTERFEITING,600 BLK NEWMARKET DR N
201653240,4/30/2016,1845,INDECENT EXPOSURE,2700 BLK ORCUTT AVE
201653528,4/30/2016,1856,INTIMIDATION,400 BLK CATINA WAY
201653234,4/30/2016,1924,DRUG/NARCOTICS OFFENSES,100 BLK ANNETTE CT
201653239,4/30/2016,1925,WEAPON OFFENSE,900 BLK 26TH ST
201603578,4/30/2016,1937,LARCENY,900 BLK J CLYDE MORRIS BLVD
201653242,4/30/2016,2006,ALL OTHER OFFENSES,800 BLK WEYANOKE LN
201653244,4/30/2016,2053,WEAPON OFFENSE,3300 BLK ROANOKE AVE
201653241,4/30/2016,2121,INTIMIDATION,0 BLK COPELAND LN
201653245,4/30/2016,2134,JUVENILE - RUNAWAY,400 BLK SUMMER DR
201603579,4/30/2016,2152,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12000 BLK JEFFERSON AVE
201653243,4/30/2016,2155,DAMAGE PROPERTY,700 BLK 36TH ST
201603580,4/30/2016,2257,DISORDERLY CONDUCT,3300 BLK ROANOKE AVE
201603580,4/30/2016,2257,SIMPLE ASSAULT,3300 BLK ROANOKE AVE
201653246,4/30/2016,2312,JUVENILE - RUNAWAY,100 BLK CANDLEWOOD WAY
201603581,4/30/2016,2317,DAMAGE PROPERTY,700 BLK NINEBARK CT
201653247,4/30/2016,2333,CURFEW,400 BLK GOOSE CIR
201653249,5/1/2016,0122,JUVENILE - RUNAWAY,100 BLK HIGHLANDS PKWY
201653252,5/1/2016,0143,FORCIBLE FONDLING,500 BLK DARTMOOR DR
201653248,5/1/2016,0148,LEAVING THE SCENE,800 BLK OLD OYSTER POINT RD
201653250,5/1/2016,0219,SUICIDE,500 BLK LEONARD LN
201653253,5/1/2016,0328,SIMPLE ASSAULT,6100 BLK JEFFERSON AVE
201653251,5/1/2016,0505,BURGLARY/B & E,600 BLK 35TH ST
201603583,5/1/2016,0512,VEHICLE THEFT,11900 BLK JEFFERSON AVE
201653254,5/1/2016,0553,AGGRAVATED ASSAULT,1200 BLK 25TH ST
201653254,5/1/2016,0553,WEAPON OFFENSE,1200 BLK 25TH ST
201653254,5/1/2016,0553,HOMICIDE/MURDER,1200 BLK 25TH ST
201603585,5/1/2016,0848,LEAVING THE SCENE,100 BLK BRET HARTE DR
201653255,5/1/2016,0938,CURFEW,800 BLK 22ND ST
201653255,5/1/2016,0938,JUVENILE - RUNAWAY,800 BLK 22ND ST
201603588,5/1/2016,1059,INTIMIDATION,14300 BLK WARWICK BLVD
201603589,5/1/2016,1128,VEHICLE THEFT,100 BLK RIVER TRACE WAY
201603590,5/1/2016,1140,DAMAGE PROPERTY,1300 BLK ROANOKE AVE
201653262,5/1/2016,1151,DECEASED PERSON,500 BLK WOODS RD
201653258,5/1/2016,1230,SIMPLE ASSAULT,0 BLK AZALEA DR
201653259,5/1/2016,1327,THEFT PARTS FROM VEHICLE,300 BLK HICKORY POINT BLVD
201653260,5/1/2016,1342,SIMPLE ASSAULT,12900 BLK JEFFERSON AVE
201603591,5/1/2016,1347,SHOPLIFTING,12400 BLK JEFFERSON AVE
201653261,5/1/2016,1520,SIMPLE ASSAULT,13200 BLK WARWICK BLVD
201653264,5/1/2016,1615,SIMPLE ASSAULT,100 BLK RIVERMONT DR
201653263,5/1/2016,1619,LARCENY,12300 BLK JEFFERSON AVE
201653265,5/1/2016,1655,LARCENY,10100 BLK JEFFERSON AVE
201653266,5/1/2016,1656,SIMPLE ASSAULT,12400 BLK JEFFERSON AVE
201653267,5/1/2016,1741,DRUG/NARCOTICS OFFENSES,600 BLK TOWN CENTER DR
201603596,5/1/2016,1806,SHOPLIFTING,6100 BLK JEFFERSON AVE
201603597,5/1/2016,1820,LARCENY,10100 BLK JEFFERSON AVE
201603598,5/1/2016,1914,FRAUD - IMPERSONATE,12400 BLK JEFFERSON AVE
201653268,5/1/2016,1928,LARCENY,1200 BLK 27TH ST
201603599,5/1/2016,1936,SHOPLIFTING,6100 BLK JEFFERSON AVE
201653270,5/1/2016,2011,SIMPLE ASSAULT,0 BLK LANGLEY AVE
201603604,5/1/2016,2022,ROBBERY,10100 BLK JEFFERSON AVE
201653269,5/1/2016,2023,LARCENY,1300 BLK 16TH ST
201603601,5/1/2016,2121,DAMAGE PROPERTY,1300 BLK ROANOKE AVE
201603601,5/1/2016,2121,THEFT PARTS FROM VEHICLE,1300 BLK ROANOKE AVE
201603603,5/1/2016,2148,LARCENY,0 BLK WELLESLEY DR
201653273,5/1/2016,2228,DAMAGE PROPERTY,300 BLK HICKORY POINT BLVD
201603605,5/1/2016,2321,LARCENY,300 BLK CHARLES ST
201653272,5/1/2016,2335,SIMPLE ASSAULT,400 BLK TURLINGTON RD
201603607,5/2/2016,0013,LEAVING THE SCENE,11300 BLK JEFFERSON AVE
201653275,5/2/2016,0040,BURGLARY/B & E,900 BLK BRICK KILN BLVD
201653274,5/2/2016,0042,WEAPON OFFENSE,100 BLK SPUR DR
201653274,5/2/2016,0042,AGGRAVATED ASSAULT,100 BLK SPUR DR
201653277,5/2/2016,0123,TAMPERING WITH AUTO,100 BLK DOGWOOD DR
201653278,5/2/2016,0148,SIMPLE ASSAULT,600 BLK 45TH ST
201603608,5/2/2016,0500,TAMPERING WITH AUTO,300 BLK MISTLETOE DR
201603644,5/2/2016,0506,LARCENY,600 BLK RIDLEY CIR
201653276,5/2/2016,0600,OVERDOSE,1000 BLK WILLOW GREEN DR
201603609,5/2/2016,0622,LEAVING THE SCENE,100 BLK ELECTRA DR
201653279,5/2/2016,0622,WEAPON OFFENSE,29TH ST / WASHINGTON AVE
201603610,5/2/2016,0649,TAMPERING WITH AUTO,100 BLK MISTLETOE DR
201603611,5/2/2016,0702,THEFT FROM VEHICLE,100 BLK LONGWOOD DR
201603612,5/2/2016,0753,TAMPERING WITH AUTO,100 BLK LONGWOOD DR
201653282,5/2/2016,0757,LEAVING THE SCENE,JEFFERSON AVE / MASON DR
201653283,5/2/2016,0809,LEAVING THE SCENE,100 BLK S HALL WAY
201603613,5/2/2016,0823,THEFT PARTS FROM VEHICLE,200 BLK BEECH DR
201653284,5/2/2016,0913,JUVENILE - RUNAWAY,300 BLK 73RD ST
201603615,5/2/2016,0931,THEFT FROM VEHICLE,300 BLK MISTLETOE DR
201603616,5/2/2016,0938,LARCENY,0 BLK JACOBS LN
201603617,5/2/2016,0959,FRAUD - IMPERSONATE,12300 BLK JEFFERSON AVE
201603618,5/2/2016,1002,TAMPERING WITH AUTO,400 BLK RIVERSIDE DR
201603619,5/2/2016,1013,FRAUD - IMPERSONATE,12400 BLK JEFFERSON AVE
201603620,5/2/2016,1014,FRAUD - IMPERSONATE,12100 BLK JEFFERSON AVE
201603621,5/2/2016,1016,DAMAGE PROPERTY,100 BLK ALBERTA DR
201603622,5/2/2016,1021,THEFT FROM VEHICLE,600 BLK HAMILTON DR
201603623,5/2/2016,1035,THEFT FROM BUILDING,600 BLK THIMBLE SHOALS BLVD
201653285,5/2/2016,1055,DAMAGE PROPERTY,2200 BLK ROANOKE AVE
201603624,5/2/2016,1057,FRAUD - IMPERSONATE,12100 BLK JEFFERSON AVE
201603625,5/2/2016,1100,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12100 BLK JEFFERSON AVE
201653288,5/2/2016,1102,JUVENILE - RUNAWAY,900 BLK JAMES DR
201653286,5/2/2016,1104,LARCENY,2300 BLK JEFFERSON AVE
201653287,5/2/2016,1107,SIMPLE ASSAULT,1000 BLK OLD DENBIGH BLVD
201603626,5/2/2016,1121,FRAUD - IMPERSONATE,12400 BLK JEFFERSON AVE
201653280,5/2/2016,1130,SUICIDE,0 BLK BURNS DR
201603627,5/2/2016,1130,SIMPLE ASSAULT,3400 BLK ORCUTT AVE
201603628,5/2/2016,1134,FRAUD - IMPERSONATE,12300 BLK JEFFERSON AVE
201603629,5/2/2016,1148,FRAUD - IMPERSONATE,12300 BLK JEFFERSON AVE
201603630,5/2/2016,1207,FRAUD - IMPERSONATE,12300 BLK JEFFERSON AVE
201603631,5/2/2016,1208,FRAUD - IMPERSONATE,700 BLK PRESCOTT CIR
201653289,5/2/2016,1218,SHOPLIFTING,300 BLK CHATHAM DR
201603632,5/2/2016,1218,FRAUD - IMPERSONATE,12300 BLK JEFFERSON AVE
201603633,5/2/2016,1227,FRAUD - IMPERSONATE,12300 BLK JEFFERSON AVE
201603634,5/2/2016,1236,FRAUD - IMPERSONATE,12300 BLK JEFFERSON AVE
201603635,5/2/2016,1245,FRAUD - IMPERSONATE,700 BLK J CLYDE MORRIS BLVD
201603637,5/2/2016,1338,FRAUD - IMPERSONATE,12400 BLK JEFFERSON AVE
201603638,5/2/2016,1342,LEAVING THE SCENE,1100 BLK 17TH ST
201653291,5/2/2016,1411,JUVENILE - RUNAWAY,1000 BLK 24TH ST
201653292,5/2/2016,1422,LEAVING THE SCENE,#Error
201653293,5/2/2016,1445,DAMAGE PROPERTY,6200 BLK HILMAR PL
201603642,5/2/2016,1446,FRAUD - IMPERSONATE,12400 BLK JEFFERSON AVE
201603660,5/2/2016,1500,"SEX ASSAULT, RAPE",0 BLK LANGLEY AVE
201603643,5/2/2016,1501,FRAUD - IMPERSONATE,12100 BLK JEFFERSON AVE
201603645,5/2/2016,1519,FRAUD - IMPERSONATE,600 BLK PILOT HOUSE DR
201603648,5/2/2016,1524,FRAUD - IMPERSONATE,12000 BLK JEFFERSON AVE
201603647,5/2/2016,1529,FRAUD - IMPERSONATE,12000 BLK JEFFERSON AVE
201603649,5/2/2016,1534,FRAUD - IMPERSONATE,700 BLK PELHAM DR
201603650,5/2/2016,1539,LARCENY,13700 BLK WARWICK BLVD
201653299,5/2/2016,1551,DRUG/NARCOTICS OFFENSES,1400 BLK KILN CREEK PKWY
201603651,5/2/2016,1554,LEAVING THE SCENE,5800 BLK HUNTINGTON AVE
201653297,5/2/2016,1603,OVERDOSE,100 BLK DELMAR LN
201653294,5/2/2016,1607,LEAVING THE SCENE,GROOME RD / JEFFERSON AVE
201603652,5/2/2016,1610,FRAUD - IMPERSONATE,12400 BLK JEFFERSON AVE
201653301,5/2/2016,1622,BURGLARY/B & E,300 BLK HICKORY POINT BLVD
201603653,5/2/2016,1634,FORGERY/COUNTERFEITING,1800 BLK ROANOKE AVE
201653296,5/2/2016,1640,SIMPLE ASSAULT,11500 BLK JEFFERSON AVE
201603654,5/2/2016,1647,LEAVING THE SCENE,800 BLK HIDDEN GLEN CT
201653300,5/2/2016,1651,LARCENY,500 BLK BLAND BLVD
201603655,5/2/2016,1655,LEAVING THE SCENE,0 BLK MATTHEW RD
201653304,5/2/2016,1705,SIMPLE ASSAULT,100 BLK BONITA DR
201653302,5/2/2016,1705,SIMPLE ASSAULT,400 BLK TURLINGTON RD
201653295,5/2/2016,1705,NEGLECT CHILD,200 BLK BAILIFF CT
201653295,5/2/2016,1705,DRUG/NARCOTICS OFFENSES,200 BLK BAILIFF CT
201603657,5/2/2016,1745,TAMPERING WITH AUTO,300 BLK MISTLETOE DR
201653303,5/2/2016,1830,SIMPLE ASSAULT,400 BLK TURLINGTON RD
201653308,5/2/2016,1906,BURGLARY/B & E,100 BLK REXFORD DR E
201603658,5/2/2016,1921,THEFT FROM VEHICLE,100 BLK LONGWOOD DR
201653306,5/2/2016,1927,INTIMIDATION,5100 BLK JEFFERSON AVE
201653305,5/2/2016,1929,LEAVING THE SCENE,3300 BLK JEFFERSON AVE
201653310,5/2/2016,1951,DRUG/NARCOTICS OFFENSES,200 BLK CURTIS TIGNOR RD
201653309,5/2/2016,2021,SIMPLE ASSAULT,800 BLK 31ST ST
201603659,5/2/2016,2036,THEFT FROM VEHICLE,700 BLK PRESCOTT CIR
201603661,5/2/2016,2128,VEHICLE THEFT,400 BLK LOGAN PL
201653311,5/2/2016,2225,SIMPLE ASSAULT,THORNCLIFF DR / WARWICK BLVD
201603663,5/2/2016,2335,DAMAGE PROPERTY,45TH ST / WARWICK BLVD
201653312,5/3/2016,0024,THEFT FROM VEHICLE,500 BLK CANDLE LN
201603664,5/3/2016,0052,THEFT PARTS FROM VEHICLE,100 BLK AMERICANA DR
201653313,5/3/2016,0234,SIMPLE ASSAULT,300 BLK ROSEMAN CT
201653314,5/3/2016,0234,DAMAGE PROPERTY,500 BLK CLEARBROOK RD
201603665,5/3/2016,0542,DAMAGE PROPERTY,200 BLK JAKES LN
201603666,5/3/2016,0644,LEAVING THE SCENE,HARPERSVILLE RD / JEFFERSON AVE
201603667,5/3/2016,0652,LEAVING THE SCENE,300 BLK SEAGULL CT
201603668,5/3/2016,0713,THEFT PARTS FROM VEHICLE,0 BLK HAUGHTON AVE
201603669,5/3/2016,0832,LEAVING THE SCENE,12400 BLK JEFFERSON AVE
201603670,5/3/2016,0919,SIMPLE ASSAULT,400 BLK ATKINSON WAY
201603672,5/3/2016,0937,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12400 BLK JEFFERSON AVE
201603674,5/3/2016,1005,TAMPERING WITH AUTO,500 BLK RIVERSIDE DR
201603675,5/3/2016,1023,LARCENY,100 BLK BROOKFIELD DR
201603678,5/3/2016,1029,MISSING PERSON,9700 BLK JEFFERSON AVE
201653318,5/3/2016,1051,DRUG/NARCOTICS OFFENSES,700 BLK J CLYDE MORRIS BLVD
201653317,5/3/2016,1057,DAMAGE PROPERTY,600 BLK 42ND ST
201603679,5/3/2016,1124,DAMAGE PROPERTY,700 BLK SEDGEFIELD DR
201603681,5/3/2016,1222,LEAVING THE SCENE,12100 BLK JEFFERSON AVE
201603682,5/3/2016,1235,VEHICLE THEFT,5600 BLK SURRY AVE
201653319,5/3/2016,1244,BURGLARY/B & E,0 BLK BIRD LN
201603683,5/3/2016,1310,LEAVING THE SCENE,6100 BLK JEFFERSON AVE
201653320,5/3/2016,1323,BURGLARY/B & E,2600 BLK CHESTNUT AVE
201653321,5/3/2016,1410,SIMPLE ASSAULT,0 BLK SALLY ANN PL
201653321,5/3/2016,1410,DAMAGE PROPERTY,0 BLK SALLY ANN PL
201603685,5/3/2016,1413,LEAVING THE SCENE,25TH ST / JEFFERSON AVE
201653322,5/3/2016,1422,SIMPLE ASSAULT,800 BLK J CLYDE MORRIS BLVD
201603686,5/3/2016,1422,FRAUD/FALSE PRETENSES/SWINDLE,800 BLK JESSIE CIR
201603687,5/3/2016,1445,THEFT PARTS FROM VEHICLE,300 BLK HIDENWOOD DR
201653325,5/3/2016,1449,INTIMIDATION,800 BLK FORREST DR
201603688,5/3/2016,1449,ANNOYING PHONE CALLS,14500 BLK OLD COURTHOUSE WAY
201653323,5/3/2016,1455,LEAVING THE SCENE,800 BLK LUCAS CREEK RD
201653324,5/3/2016,1500,BURGLARY/B & E,700 BLK WINSLOW DR
201653324,5/3/2016,1500,DRUG/NARCOTICS OFFENSES,700 BLK WINSLOW DR
201603689,5/3/2016,1519,TAMPERING WITH AUTO,2500 BLK WOODBRIDGE DR
201603690,5/3/2016,1525,LARCENY,200 BLK DENBIGH BLVD
201603691,5/3/2016,1554,INTIMIDATION,100 BLK ARCHER RD
201653326,5/3/2016,1556,DRUG/NARCOTICS OFFENSES,J CLYDE MORRIS BLVD / OLD OYSTER POINT RD
201653331,5/3/2016,1559,BURGLARY/B & E,400 BLK YOUNGS MILL LN
201653327,5/3/2016,1621,THEFT FROM VEHICLE,18TH ST / IVY AVE
201603692,5/3/2016,1626,LEAVING THE SCENE,12400 BLK JEFFERSON AVE
201603693,5/3/2016,1633,THEFT FROM VEHICLE,900 BLK EDGEWATER DR
201603694,5/3/2016,1638,LEAVING THE SCENE,300 BLK WITNESS LN
201603695,5/3/2016,1647,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12100 BLK JEFFERSON AVE
201603696,5/3/2016,1659,LEAVING THE SCENE,700 BLK TERRACE DR
201653328,5/3/2016,1701,SIMPLE ASSAULT,500 BLK BULKELEY PL
201653329,5/3/2016,1719,SIMPLE ASSAULT,800 BLK LUCAS CREEK RD
201653329,5/3/2016,1719,DAMAGE PROPERTY,800 BLK LUCAS CREEK RD
201653330,5/3/2016,1730,DAMAGE PROPERTY,0 BLK JEFFERYS DR
201603697,5/3/2016,1809,FRAUD-ILLEGAL USE CREDIT CARD/ATM,10100 BLK JEFFERSON AVE
201603698,5/3/2016,1835,LARCENY,12800 BLK JEFFERSON AVE
201603699,5/3/2016,1907,LEAVING THE SCENE,400 BLK BRYSON CT
201653334,5/3/2016,1910,DRUG/NARCOTICS OFFENSES,1000 BLK 28TH ST
201653332,5/3/2016,1918,LARCENY,15400 BLK WARWICK BLVD
201653332,5/3/2016,1918,SIMPLE ASSAULT,15400 BLK WARWICK BLVD
201653340,5/3/2016,1928,FRAUD-ILLEGAL USE CREDIT CARD/ATM,12400 BLK JEFFERSON AVE
201653335,5/3/2016,1940,SIMPLE ASSAULT,600 BLK 73RD ST
201653341,5/3/2016,1947,LARCENY,300 BLK BOULDER DR
201653336,5/3/2016,2005,JUVENILE - RUNAWAY,300 BLK CIRCUIT LN
201653338,5/3/2016,2011,JUVENILE - RUNAWAY,100 BLK HIGHLANDS PKWY
201653342,5/3/2016,2016,LARCENY,0 BLK CLAY DR
